snp_chr	snp_pos	snp	peak_chr	peak_start	peak_end	disease.trait	pubmedid	reported.gene.s.	mapped_gene	strongest.snp.risk.allele	context	risk.allele.frequency	p.value	study.accession	Multiple
chr12	56752285	rs2277339	chr12	56751838	56752719	Menopause (age at onset)	26414677	PRIM1, TAC3	PRIM1	rs2277339-G	missense_variant	0.1	2e-19	GCST005312	TRUE
chr12	56752285	rs2277339	chr12	56751838	56752719	Mean corpuscular volume	27863252	PRIM1	PRIM1	rs2277339-G	missense_variant	0.1042	1e-9	GCST004602	TRUE
chr12	56752285	rs2277339	chr12	56751838	56752719	Plateletcrit	27863252	PRIM1	PRIM1	rs2277339-G	missense_variant	0.1038	1e-10	GCST004607	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Height	19343178	HMGA1, C6orf106	CYCSP55 - HMGA1	rs1776897-?	regulatory_region_variant	0.49	8e-11	GCST000372	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Waist circumference adjusted for body mass index	25673412	HMGA1	CYCSP55 - HMGA1	rs1776897-T	regulatory_region_variant	0.9193	2e-16	GCST004063	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Height	20397748	HMGA1	CYCSP55 - HMGA1	rs1776897-T	regulatory_region_variant	0.49	7e-6	GCST000644	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Height	25429064	HMGA1	CYCSP55 - HMGA1	rs1776897-T	regulatory_region_variant	0.88	2e-29	GCST002702	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Height	18391951	LBH, HMGA1	CYCSP55 - HMGA1	rs1776897-C	regulatory_region_variant	0.07	1e-8	GCST000175	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Waist-to-hip ratio adjusted for body mass index	25673412	HMGA1	CYCSP55 - HMGA1	rs1776897-G	regulatory_region_variant	0.0812	7e-9	GCST002782	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	28443625	HMGA1	CYCSP55 - HMGA1	rs1776897-T	regulatory_region_variant	0.8414	2e-16	GCST004501	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Waist circumference adjusted for BMI in non-smokers	28443625	HMGA1	CYCSP55 - HMGA1	rs1776897-T	regulatory_region_variant	0.8414	6e-12	GCST004504	TRUE
chr6	34227234	rs1776897	chr6	34226782	34227319	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	28443625	HMGA1	CYCSP55 - HMGA1	rs1776897-T	regulatory_region_variant	0.8414	6e-15	GCST004500	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Hematological parameters	19820697	AK3	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	NR	9e-17	GCST000498	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Platelet count	20139978	AK3	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.76	3e-13	GCST000580	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Sum neutrophil eosinophil counts	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	4e-14	GCST004613	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Sum basophil neutrophil counts	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	1e-13	GCST004620	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Granulocyte count	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	1e-14	GCST004614	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Granulocyte percentage of myeloid white cells	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	3e-10	GCST004608	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Platelet count	26805783	AK3, RCL1	AK3 - ECM1P1	rs385893-T	regulatory_region_variant	0.6	5e-6	GCST003383	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Myeloid white cell count	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.522	2e-13	GCST004626	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Neutrophil percentage of white cells	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	8e-12	GCST004633	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Neutrophil count	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	4e-13	GCST004629	TRUE
chr9	4763176	rs385893	chr9	4763159	4763678	Platelet count	29403010	AK3, RCL1	AK3 - ECM1P1	rs385893-?	regulatory_region_variant	NR	4e-55	GCST005991	TRUE
chr3	196082268	rs11915082	chr3	196081823	196082683	Mean corpuscular hemoglobin	19862010	TFRC	TFRC - LINC00885	rs11915082-A	regulatory_region_variant	NR	8e-13	GCST000504	TRUE
chr3	196082268	rs11915082	chr3	196081823	196082683	Mean corpuscular hemoglobin	28017375	NR	TFRC - LINC00885	rs11915082-?	regulatory_region_variant	NR	5e-13	GCST004006	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	Body mass index	25673413	NEGR1	LOC105378797	rs3101336-C	intergenic_variant	0.614	2e-16	GCST002783	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	Obesity	23563607	NEGR1	LOC105378797	rs3101336-C	intergenic_variant	0.61	1e-13	GCST001953	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	Menarche (age at onset)	25231870	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.4	5e-13	GCST002541	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	Obesity (early onset extreme)	23563609	NEGR1	LOC105378797	rs3101336-C	intergenic_variant	0.60	2e-8	GCST001957	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	BMI (adjusted for smoking behaviour)	28443625	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.3916	2e-12	GCST004495	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	Body mass index (joint analysis main effects and smoking interaction)	28443625	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.3916	3e-16	GCST004497	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	BMI in smokers	28443625	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.3916	4e-8	GCST004498	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	Childhood body mass index	26604143	NR	LOC105378797	rs3101336-C	intergenic_variant	NR	4e-8	GCST003177	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	BMI in non-smokers	28443625	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.3916	8e-9	GCST004499	TRUE
chr1	72285502	rs3101336	chr1	72284938	72285562	Body mass index	28892062	NEGR1, LINC01360	LOC105378797	rs3101336-C	intergenic_variant	0.63	1e-29	GCST004904	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Body mass index	25673413	BMP2	CASC20 - LOC105372516	rs1884897-G	regulatory_region_variant	0.639	7e-7	GCST002783	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Waist circumference adjusted for body mass index	25673412	BMP2	CASC20 - LOC105372516	rs1884897-A	regulatory_region_variant	0.3602	2e-8	GCST004063	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Height	25282103	BMP2	CASC20 - LOC105372516	rs1884897-A	regulatory_region_variant	0.364	1e-48	GCST002647	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Waist circumference adjusted for body mass index	28448500	LOC149844, BMP2	CASC20 - LOC105372516	rs1884897-A	regulatory_region_variant	0.3681	8e-10	GCST004562	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Waist circumference adjusted for BMI in active individuals	28448500	LOC149844, BMP2	CASC20 - LOC105372516	rs1884897-A	regulatory_region_variant	0.3681	1e-7	GCST004564	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	28443625	BMP2	CASC20 - LOC105372516	rs1884897-A	regulatory_region_variant	0.3739	7e-10	GCST004501	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Waist circumference adjusted for BMI in non-smokers	28443625	BMP2	CASC20 - LOC105372516	rs1884897-A	regulatory_region_variant	0.3739	9e-7	GCST004504	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	28448500	LOC149844, BMP2	CASC20 - LOC105372516	rs1884897-?	regulatory_region_variant	0.3681	1e-8	GCST004563	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	28443625	BMP2	CASC20 - LOC105372516	rs1884897-A	regulatory_region_variant	0.3739	3e-7	GCST004500	TRUE
chr20	6632185	rs1884897	chr20	6632132	6632633	Body mass index	28892062	CASC20, BMP2	CASC20 - LOC105372516	rs1884897-G	regulatory_region_variant	0.6	4e-8	GCST004904	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Body mass index	25673413	BCL2	BCL2	rs12454712-C	intron_variant	0.397	6e-6	GCST002783	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	26426971	NR	BCL2	rs12454712-T	intron_variant	0.605780269266481	4e-7	GCST005962	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Waist-to-hip ratio adjusted for body mass index	25673412	BCL2	BCL2	rs12454712-T	intron_variant	0.6089	1e-9	GCST002782	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Type 2 diabetes	28869590	BCL2	BCL2	rs12454712-C	intron_variant	0.3857	4e-8	GCST004894	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	27416945	BCL2	BCL2	rs12454712-T	intron_variant	0.58	2e-8	GCST003658	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	27416945	BCL2	BCL2	rs12454712-T	intron_variant	0.58	3e-8	GCST003659	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)	28443625	BCL2	BCL2	rs12454712-T	intron_variant	0.6153	7e-6	GCST004505	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Body mass index	28892062	BCL2	BCL2	rs12454712-C	intron_variant	0.4	3e-11	GCST004904	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	Reticulocyte count	27863252	BCL2	BCL2	rs12454712-C	intron_variant	0.3778	5e-11	GCST004622	TRUE
chr18	63178651	rs12454712	chr18	63178203	63178704	High light scatter reticulocyte count	27863252	BCL2	BCL2	rs12454712-C	intron_variant	0.3778	5e-10	GCST004611	TRUE
chr3	172204265	rs12493901	chr3	172203856	172204358	Waist circumference adjusted for body mass index	25673412	FNDC3B	FNDC3B	rs12493901-A	intron_variant	0.4845	5e-9	GCST004063	TRUE
chr3	172204265	rs12493901	chr3	172203856	172204358	Waist circumference adjusted for body mass index	28448500	FNDC3B	FNDC3B	rs12493901-G	intron_variant	0.512	2e-7	GCST004562	TRUE
chr3	172204265	rs12493901	chr3	172203856	172204358	Waist circumference adjusted for BMI in active individuals	28448500	FNDC3B	FNDC3B	rs12493901-G	intron_variant	0.5135000000000001	3e-8	GCST004564	TRUE
chr3	172204265	rs12493901	chr3	172203856	172204358	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	28448500	FNDC3B	FNDC3B	rs12493901-?	intron_variant	0.512	1e-7	GCST004563	TRUE
chr3	172204265	rs12493901	chr3	172203856	172204358	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	28443625	FNDC3B	FNDC3B	rs12493901-A	intron_variant	0.4712	6e-13	GCST004501	TRUE
chr3	172204265	rs12493901	chr3	172203856	172204358	Waist circumference adjusted for BMI in non-smokers	28443625	FNDC3B	FNDC3B	rs12493901-A	intron_variant	0.4712	2e-7	GCST004504	TRUE
chr3	172204265	rs12493901	chr3	172203856	172204358	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	28443625	FNDC3B	FNDC3B	rs12493901-A	intron_variant	0.4712	3e-6	GCST004500	TRUE
chr3	172204265	rs12493901	chr3	172203856	172204358	Waist circumference adjusted for BMI in smokers	28443625	FNDC3B	FNDC3B	rs12493901-A	intron_variant	0.4712	7e-8	GCST004503	TRUE
chr15	100152748	rs72755233	chr15	100152379	100152980	Intraocular pressure	29617998	ADAMTS17	ADAMTS17	rs72755233-G	missense_variant	0.8902	3e-45	GCST005580	TRUE
chr15	100152748	rs72755233	chr15	100152379	100152980	Intraocular pressure	29235454	ADAMTS17	ADAMTS17	rs72755233-?	missense_variant	NR	1e-21	GCST005170	TRUE
chr10	112520943	rs12241008	chr10	112520736	112521351	Colorectal cancer	29471430	NR	VTI1A	rs12241008-C	intron_variant	NR	3e-12	GCST005591	TRUE
chr10	112520943	rs12241008	chr10	112520736	112521351	Colorectal cancer	25105248	VTI1A	VTI1A	rs12241008-C	intron_variant	0.090	1e-9	GCST002561	TRUE
chr10	103918139	rs4387287	chr10	103918037	103918741	Diastolic blood pressure	27618447	OBFC1	OBFC1	rs4387287-A	5_prime_UTR_variant	0.2029	4e-10	GCST006020	TRUE
chr10	103918139	rs4387287	chr10	103918037	103918741	Systolic blood pressure	27618447	OBFC1	OBFC1	rs4387287-A	5_prime_UTR_variant	0.1556	9e-10	GCST006021	TRUE
chr10	103918139	rs4387287	chr10	103918037	103918741	Hypertension	27618447	OBFC1	OBFC1	rs4387287-A	5_prime_UTR_variant	0.189	2e-8	GCST006023	TRUE
chr10	103918139	rs4387287	chr10	103918037	103918741	Telomere length	20421499	OBFC1	OBFC1	rs4387287-A	5_prime_UTR_variant	NR	2e-11	GCST000669	TRUE
chr10	103918139	rs4387287	chr10	103918037	103918741	Diastolic blood pressure	28739976	OBFC1	OBFC1	rs4387287-C	5_prime_UTR_variant	0.828	4e-6	GCST004777	TRUE
chr8	27608798	rs1532278	chr8	27608489	27609115	Alzheimer's disease (late onset)	21460841	CLU	CLU	rs1532278-?	non_coding_transcript_exon_variant	0.64	8e-8	GCST001026	TRUE
chr8	27608798	rs1532278	chr8	27608489	27609115	Alzheimer's disease (late onset)	28714976	CLU	CLU	rs1532278-?	non_coding_transcript_exon_variant	NR	6e-10	GCST005549	TRUE
chr12	52880120	rs902774	chr12	52879830	52880349	Prostate cancer	21743057	KRT8, EIF4B, TENC1	KRT78 - RPL7P41	rs902774-A	TF_binding_site_variant	0.17	5e-9	GCST001147	TRUE
chr12	52880120	rs902774	chr12	52879830	52880349	Prostate cancer	26034056	NR	KRT78 - RPL7P41	rs902774-A	TF_binding_site_variant	0.15	1e-7	GCST002944	TRUE
chr3	141414608	rs1991431	chr3	141414141	141414642	Height	23563607	ZBTB38	ZBTB38	rs1991431-A	intron_variant	0.44	4e-47	GCST001956	TRUE
chr3	141414608	rs1991431	chr3	141414141	141414642	Height	28270201	ZBTB38	ZBTB38	rs1991431-A	intron_variant	0.4338	5e-13	GCST004212	TRUE
chr3	141414608	rs1991431	chr3	141414141	141414642	Prostate-specific antigen levels (conditioned on lead SNPs)	28139693	ZBTB38	ZBTB38	rs1991431-?	intron_variant	0.43	3e-11	GCST004094	TRUE
chr3	196073676	rs9859260	chr3	196073182	196073687	Mean corpuscular volume	19862010	TFRC	TFRC	rs9859260-C	intron_variant	NR	8e-14	GCST000503	TRUE
chr3	196073676	rs9859260	chr3	196073182	196073687	Mean corpuscular volume	28453575	TFRC	TFRC	rs9859260-C	intron_variant	0.57	5e-6	GCST004335	TRUE
chr3	196073676	rs9859260	chr3	196073182	196073687	Mean corpuscular volume	28017375	NR	TFRC	rs9859260-?	intron_variant	NR	1e-12	GCST004004	TRUE
chr4	89757390	rs2736990	chr4	89757310	89757827	Parkinson's disease	19915575	SNCA	SNCA	rs2736990-C	intron_variant	0.51	2e-16	GCST000528	TRUE
chr4	89757390	rs2736990	chr4	89757310	89757827	Parkinson's disease	20070850	SNCA	SNCA	rs2736990-?	intron_variant	NR	7e-8	GCST000567	TRUE
chr4	958159	rs34311866	chr4	958010	958511	Parkinson's disease	25064009	TMEM175, GAK, DGKQ	TMEM175	rs34311866-C	missense_variant	0.191	1e-43	GCST002544	TRUE
chr4	958159	rs34311866	chr4	958010	958511	Parkinson's disease	28892059	TMEM175, DGKQ	TMEM175	rs34311866-C	missense_variant	0.184	1e-50	GCST004902	TRUE
chr4	89704960	rs356182	chr4	89704519	89705441	Parkinson's disease	25064009	SNCA	LOC105377329	rs356182-G	intron_variant	0.367	4e-73	GCST002544	TRUE
chr4	89704960	rs356182	chr4	89704519	89705441	Parkinson's disease	28892059	SNCA	LOC105377329	rs356182-G	intron_variant	0.349	5e-123	GCST004902	TRUE
chr4	89704960	rs356182	chr4	89704519	89705441	Parkinson's disease	27182965	GPRIN3, SNCA	LOC105377329	rs356182-?	intron_variant	NR	1e-56	GCST003984	TRUE
chr11	109507345	rs12421382	chr11	109507288	109507789	Schizophrenia	25056061	C11orf87	C11orf87 - CCT6P5	rs12421382-C	intron_variant	0.666	4e-8	GCST002539	TRUE
chr11	109507345	rs12421382	chr11	109507288	109507789	Schizophrenia	26198764	NR	C11orf87 - CCT6P5	rs12421382-C	intron_variant	NR	4e-8	GCST003048	TRUE
chr11	109507345	rs12421382	chr11	109507288	109507789	Schizophrenia	28991256	C11orf87	C11orf87 - CCT6P5	rs12421382-C	intron_variant	NR	2e-8	GCST004946	TRUE
chr15	40275036	rs56205728	chr15	40274605	40275106	Schizophrenia	25056061	ANKRD63, PAK6, PLCB2	PAK6, BUB1B-PAK6	rs56205728-A	intron_variant	0.274	4e-9	GCST002539	TRUE
chr15	40275036	rs56205728	chr15	40274605	40275106	Schizophrenia	26198764	NR	PAK6, BUB1B-PAK6	rs56205728-A	intron_variant	NR	9e-8	GCST003048	TRUE
chr6	32190542	rs176095	chr6	32190042	32190553	Atopic dermatitis	23042114	GPSM3	PBX2 - GPSM3	rs176095-T	regulatory_region_variant	0.81	8e-20	GCST001709	TRUE
chr6	32190542	rs176095	chr6	32190042	32190553	Atopic dermatitis	25574825	GPSM3	PBX2 - GPSM3	rs176095-G	regulatory_region_variant	NR	3e-7	GCST002737	TRUE
