snp_chr	snp_pos	snp	peak_chr	peak_start	peak_end	disease.trait	pubmedid	reported.gene.s.	mapped_gene	strongest.snp.risk.allele	context	risk.allele.frequency	p.value	study.accession	Multiple
chr12	20320824	rs7134375	chr12	20320449	20320993	HDL cholesterol	24097068	PDE3A	LOC105369688	rs7134375-A	intergenic_variant	0.43	1e-8	GCST002223	TRUE
chr11	10367235	rs2923084	chr11	10366987	10367488	HDL cholesterol	20686565	AMPD3, ADM	CAND1.11	rs2923084-G	intron_variant	0.17	5e-8	GCST000755	TRUE
chr11	10367235	rs2923084	chr11	10366987	10367488	HDL cholesterol	24097068	AMPD3	CAND1.11	rs2923084-G	intron_variant	0.18	5e-8	GCST002223	TRUE
chr11	10367235	rs2923084	chr11	10366987	10367488	HDL cholesterol levels	28334899	AMPD3	CAND1.11	rs2923084-A	intron_variant	0.847	3e-6	GCST004232	TRUE
chr2	60937196	rs13017599	chr2	60936734	60937235	Psoriatic arthritis	22170493	REL	NONOP2	rs13017599-?	non_coding_transcript_exon_variant	NR	1e-8	GCST001355	TRUE
chr2	60937196	rs13017599	chr2	60936734	60937235	Rheumatoid arthritis	19503088	REL	NONOP2	rs13017599-A	non_coding_transcript_exon_variant	0.34	2e-12	GCST000420	TRUE
chr2	60937196	rs13017599	chr2	60936734	60937235	Psoriatic arthritis	26626624	REL, FLJ16341	NONOP2	rs13017599-G	non_coding_transcript_exon_variant	NR	6e-7	GCST003270	TRUE
chr11	123490689	rs735665	chr11	123490487	123490988	Follicular lymphoma	20639881	intergenic	GRAMD1B	rs735665-T	intron_variant	0.21	4e-9	GCST000734	TRUE
chr11	123490689	rs735665	chr11	123490487	123490988	Chronic lymphocytic leukemia	18758461	GRAMD1B	GRAMD1B	rs735665-A	intron_variant	0.21	4e-12	GCST000224	TRUE
chr11	123490689	rs735665	chr11	123490487	123490988	Chronic lymphocytic leukemia	23770605	SCN3B	GRAMD1B	rs735665-A	intron_variant	0.19	4e-39	GCST002073	TRUE
chr11	123490689	rs735665	chr11	123490487	123490988	Chronic lymphocytic leukemia	22700719	NR	GRAMD1B	rs735665-A	intron_variant	0.20	3e-12	GCST001570	TRUE
chr11	123490689	rs735665	chr11	123490487	123490988	Chronic lymphocytic leukemia	24292274	SCN3B, GRAMD1B	GRAMD1B	rs735665-A	intron_variant	0.19	4e-24	GCST002299	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Hematology traits	19853236	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-T	intron_variant	0.74	1e-9	GCST000510	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	F-cell distribution	17767159	intergenic	LOC107986647 - LOC105378010	rs9399137-?	intron_variant	0.23	3e-36	GCST000069	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Mean corpuscular volume	29403010	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-?	intron_variant	NR	1e-300	GCST006011	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Glycated hemoglobin levels	24647736	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-T	intron_variant	0.69	9e-15	GCST002390	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Platelet count	24026423	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-T	intron_variant	NR	8e-10	GCST002186	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Platelet count	22139419	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-C	intron_variant	NR	5e-47	GCST001337	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	HbA2 levels	23043469	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-C	intron_variant	0.26	5e-9	GCST001710	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Hematology traits	23263863	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-T	intron_variant	NR	3e-6	GCST001779	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Mean corpuscular volume	23263863	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-T	intron_variant	NR	1e-11	GCST001781	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Mean corpuscular hemoglobin	23263863	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-T	intron_variant	NR	4e-15	GCST001780	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Hemoglobin levels	26366553	MYB	LOC107986647 - LOC105378010	rs9399137-C	intron_variant	0.205	1e-93	GCST003122	TRUE
chr6	135097880	rs9399137	chr6	135097751	135098252	Platelet count	29403010	HBS1L, MYB	LOC107986647 - LOC105378010	rs9399137-?	intron_variant	NR	2e-121	GCST005991	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Calcium levels	20705733	FNDC4, IFT172, GCKR, C2orf16	GCKR	rs780093-T	intron_variant	NR	7e-6	GCST000769	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Urate levels	20884846	GCKR	GCKR	rs780093-T	intron_variant	0.40	4e-17	GCST000818	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Triglycerides-Blood Pressure (TG-BP)	21386085	GCKR	GCKR	rs780093-A	intron_variant	NR	3e-10	GCST001004	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Waist Circumference - Triglycerides (WC-TG)	21386085	GCKR	GCKR	rs780093-A	intron_variant	NR	2e-12	GCST001006	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Breast size	22747683	SLC4A1AP	GCKR	rs780093-T	intron_variant	0.416	5e-6	GCST001585	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Sex hormone-binding globulin levels	22829776	GCKR	GCKR	rs780093-T	intron_variant	0.40	2e-16	GCST001612	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Crohn's disease	21102463	GCKR	GCKR	rs780093-T	intron_variant	0.418	5e-11	GCST000879	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Glucose homeostasis traits	25524916	GCKR	GCKR	rs780093-?	intron_variant	NA	1e-6	GCST002726	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Triglycerides	26780889	GCKR	GCKR	rs780093-T	intron_variant	0.356	3e-15	GCST003301	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	circulating leptin levels	26833098	GCKR	GCKR	rs780093-C	intron_variant	0.61	2e-10	GCST003367	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	circulating leptin levels adjusted for BMI	26833098	GCKR	GCKR	rs780093-C	intron_variant	0.61	4e-10	GCST003368	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Palmitic acid (16:0) levels	23362303	GCKR	GCKR	rs780093-T	intron_variant	NR	3e-6	GCST001838	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Palmitoleic acid (16:1n-7) levels	23362303	ZNF512, XAB1, GCKR, C2orf16	GCKR	rs780093-T	intron_variant	0.41	1e-9	GCST001841	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Type 2 diabetes	26818947	GCKR	GCKR	rs780093-C	intron_variant	NR	2e-6	GCST003400	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Total cholesterol levels	28334899	GCKR	GCKR	rs780093-T	intron_variant	0.413	3e-47	GCST004235	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Palmitoleic acid (16:1n-7) levels	28298293	GCKR	GCKR	rs780093-T	intron_variant	NR	4e-12	GCST004339	TRUE
chr2	27519736	rs780093	chr2	27519656	27520161	Glomerular filtration rate (creatinine)	28452372	GCKR	GCKR	rs780093-T	intron_variant	NR	2e-16	GCST004292	TRUE
chr9	104885374	rs3890182	chr9	104885102	104885712	HDL cholesterol	20864672	ABCA1	ABCA1	rs3890182-G	intron_variant	0.88	5e-7	GCST000805	TRUE
chr9	104885374	rs3890182	chr9	104885102	104885712	HDL cholesterol	18193044	ABCA1	ABCA1	rs3890182-A	intron_variant	0.13	3e-10	GCST000133	TRUE
chr13	73946049	rs1886512	chr13	73945789	73946378	QRS duration	21076409	KLF12	KLF12	rs1886512-A	intron_variant	0.37	1e-8	GCST000872	TRUE
chr13	73946049	rs1886512	chr13	73945789	73946378	QRS duration	27659466	NR	KLF12	rs1886512-?	intron_variant	NR	6e-10	GCST003844	TRUE
chr2	43505684	rs7578597	chr2	43505670	43506171	Type 2 diabetes	18372903	THADA	THADA	rs7578597-T	missense_variant	0.90	1e-9	GCST000167	TRUE
chr2	43505684	rs7578597	chr2	43505670	43506171	Type 2 diabetes	28869590	THADA	THADA	rs7578597-C	missense_variant	0.0905	6e-11	GCST004894	TRUE
chr3	141386728	rs724016	chr3	141386555	141387193	Height	18193045	ZBTB38	ZBTB38	rs724016-G	5_prime_UTR_variant	0.36	1e-6	GCST000136	TRUE
chr3	141386728	rs724016	chr3	141386555	141387193	Infant length	25281659	ZBTB38	ZBTB38	rs724016-A	5_prime_UTR_variant	0.453	4e-7	GCST002646	TRUE
chr3	141386728	rs724016	chr3	141386555	141387193	Height	25282103	ZBTB38	ZBTB38	rs724016-A	5_prime_UTR_variant	0.555	3e-158	GCST002647	TRUE
chr3	141386728	rs724016	chr3	141386555	141387193	Height	20881960	ZBTB38	ZBTB38	rs724016-A	5_prime_UTR_variant	0.56	3e-86	GCST000817	TRUE
chr3	141386728	rs724016	chr3	141386555	141387193	Height	18391950	ZBTB38	ZBTB38	rs724016-G	5_prime_UTR_variant	0.48	8e-22	GCST000176	TRUE
chr3	141386728	rs724016	chr3	141386555	141387193	Hip circumference adjusted for BMI	25673412	ZBTB38	ZBTB38	rs724016-A	5_prime_UTR_variant	0.5572	8e-43	GCST004067	TRUE
chr3	141386728	rs724016	chr3	141386555	141387193	Crohn's disease	28067908	ZBTB38	ZBTB38	rs724016-?	5_prime_UTR_variant	NA	8e-8	GCST004132	TRUE
chr3	141386728	rs724016	chr3	141386555	141387193	Crohn's disease	26192919	intergenic	ZBTB38	rs724016-G	5_prime_UTR_variant	0.4413	3e-6	GCST003044	TRUE
chr20	3795528	rs3761218	chr20	3795494	3795995	Bipolar disorder	17554300	NR	CDC25B	rs3761218-C	intron_variant	0.64	7e-6	GCST000044	TRUE
chr20	3795528	rs3761218	chr20	3795494	3795995	Bipolar disorder	21254220	NR	CDC25B	rs3761218-?	intron_variant	NR	1e-6	GCST000961	TRUE
chr6	31652743	rs3117582	chr6	31651765	31653219	Lung cancer	18978787	BAT3, MSH5	APOM, BAG6	rs3117582-C	intron_variant	NR	5e-10	GCST000257	TRUE
chr6	31652743	rs3117582	chr6	31651765	31653219	Lung cancer	19654303	BAT3	APOM, BAG6	rs3117582-?	intron_variant	NR	4e-10	GCST000459	TRUE
chr6	31652743	rs3117582	chr6	31651765	31653219	Lung adenocarcinoma	19836008	APOM, BAT3	APOM, BAG6	rs3117582-C	intron_variant	0.10	5e-12	GCST000506	TRUE
chr6	31652743	rs3117582	chr6	31651765	31653219	Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	26651848	BAT3, APOM	APOM, BAG6	rs3117582-C	intron_variant	0.34	1e-30	GCST005541	TRUE
chr12	56752285	rs2277339	chr12	56751823	56752699	Menopause (age at onset)	22267201	PRIM1	PRIM1	rs2277339-G	missense_variant	0.102	2e-19	GCST001381	TRUE
chr12	56752285	rs2277339	chr12	56751823	56752699	Menarche (age at onset)	29773799	NR	PRIM1	rs2277339-T	missense_variant	0.7964	8e-20	GCST005867	TRUE
chr12	56752285	rs2277339	chr12	56751823	56752699	Menopause (age at onset)	29773799	PRIM1 / TAC3	PRIM1	rs2277339-T	missense_variant	0.8	8e-20	GCST005863	TRUE
chr12	56752285	rs2277339	chr12	56751823	56752699	Menopause (age at onset)	26414677	PRIM1, TAC3	PRIM1	rs2277339-G	missense_variant	0.1	2e-19	GCST005312	TRUE
chr12	56752285	rs2277339	chr12	56751823	56752699	Mean corpuscular volume	27863252	PRIM1	PRIM1	rs2277339-G	missense_variant	0.1042	1e-9	GCST004602	TRUE
chr12	56752285	rs2277339	chr12	56751823	56752699	Plateletcrit	27863252	PRIM1	PRIM1	rs2277339-G	missense_variant	0.1038	1e-10	GCST004607	TRUE
chr1	109274968	rs12740374	chr1	109274632	109275133	LDL cholesterol	19060906	CELSR2, PSRC1, SORT1	CELSR2	rs12740374-T	3_prime_UTR_variant	0.21	2e-42	GCST000287	TRUE
chr1	109274968	rs12740374	chr1	109274632	109275133	LDL cholesterol	21347282	CELSR2, PSRC1, SORT1	CELSR2	rs12740374-T	3_prime_UTR_variant	0.25	9e-29	GCST000975	TRUE
chr1	109274968	rs12740374	chr1	109274632	109275133	Lipoprotein-associated phospholipase A2 activity and mass	23118302	SORT1	CELSR2	rs12740374-T	3_prime_UTR_variant	0.22	2e-22	GCST001727	TRUE
chr1	109274968	rs12740374	chr1	109274632	109275133	Cholesterol, total	28270201	CELSR2	CELSR2	rs12740374-T	3_prime_UTR_variant	0.2288	8e-22	GCST004209	TRUE
chr1	109274968	rs12740374	chr1	109274632	109275133	Lipoprotein phospholipase A2 activity in cardiovascular disease	28753643	CELSR2	CELSR2	rs12740374-T	3_prime_UTR_variant	0.17646	4e-39	GCST004963	TRUE
chr1	109274968	rs12740374	chr1	109274632	109275133	Coronary artery disease	29212778	CELSR2, PSRC1	CELSR2	rs12740374-T	3_prime_UTR_variant	0.219	2e-57	GCST005194	TRUE
chr1	109274968	rs12740374	chr1	109274632	109275133	Blood protein levels	29875488	CELSR2	CELSR2	rs12740374-T	3_prime_UTR_variant	0.223	1e-14	GCST005806	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Hematological parameters	19820697	AK3	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	NR	9e-17	GCST000498	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Platelet count	20139978	AK3	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.76	3e-13	GCST000580	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Sum neutrophil eosinophil counts	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	4e-14	GCST004613	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Sum basophil neutrophil counts	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	1e-13	GCST004620	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Granulocyte count	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	1e-14	GCST004614	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Granulocyte percentage of myeloid white cells	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	3e-10	GCST004608	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Platelet count	26805783	AK3, RCL1	AK3 - ECM1P1	rs385893-T	regulatory_region_variant	0.6	5e-6	GCST003383	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Myeloid white cell count	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.522	2e-13	GCST004626	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Neutrophil percentage of white cells	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	8e-12	GCST004633	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Neutrophil count	27863252	intergenic	AK3 - ECM1P1	rs385893-C	regulatory_region_variant	0.5221	4e-13	GCST004629	TRUE
chr9	4763176	rs385893	chr9	4762461	4763673	Platelet count	29403010	AK3, RCL1	AK3 - ECM1P1	rs385893-?	regulatory_region_variant	NR	4e-55	GCST005991	TRUE
chr3	196082268	rs11915082	chr3	196081844	196082680	Mean corpuscular hemoglobin	19862010	TFRC	TFRC - LINC00885	rs11915082-A	regulatory_region_variant	NR	8e-13	GCST000504	TRUE
chr3	196082268	rs11915082	chr3	196081844	196082680	Mean corpuscular hemoglobin	28017375	NR	TFRC - LINC00885	rs11915082-?	regulatory_region_variant	NR	5e-13	GCST004006	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Mean corpuscular hemoglobin	19862010	HBS1L, MYB	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	NR	7e-69	GCST000504	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Mean corpuscular hemoglobin	29403010	HBS1L, MYB	LOC107986647 - LOC105378010	rs7776054-?	intron_variant	NR	1e-300	GCST005993	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Red blood cell traits	23935956	HBS1L, MYB	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.24	4e-6	GCST002109	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Hemoglobin levels	26366553	MYB	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.210	4e-19	GCST003122	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Monocyte count	27863252	HBS1L	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.2603	3e-23	GCST004625	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Red blood cell count	27863252	HBS1L	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.2603	0	GCST004601	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Hematocrit	28017375	HBS1L	LOC107986647 - LOC105378010	rs7776054-?	intron_variant	NR	1e-8	GCST004003	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Mean corpuscular volume	28017375	HBS1L	LOC107986647 - LOC105378010	rs7776054-?	intron_variant	NR	4e-119	GCST004004	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Mean corpuscular hemoglobin concentration	28017375	HBS1L	LOC107986647 - LOC105378010	rs7776054-?	intron_variant	NR	1e-8	GCST004007	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	LDL cholesterol levels	28334899	HBS1L	LOC107986647 - LOC105378010	rs7776054-A	intron_variant	0.72	4e-8	GCST004233	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Mean corpuscular hemoglobin concentration	27863252	HBS1L	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.2603	2e-118	GCST004605	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Mean corpuscular volume	27863252	HBS1L	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.2604	0	GCST004602	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Mean corpuscular hemoglobin	27863252	HBS1L	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.2605	0	GCST004630	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Plateletcrit	27863252	HBS1L	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.2605	5e-233	GCST004607	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Platelet count	27863252	HBS1L	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.2605	4e-181	GCST004603	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Red cell distribution width	27863252	HBS1L	LOC107986647 - LOC105378010	rs7776054-G	intron_variant	0.2606	1e-122	GCST004621	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Mean corpuscular hemoglobin concentration	29403010	HBS1L, MYB	LOC107986647 - LOC105378010	rs7776054-?	intron_variant	NR	1e-70	GCST005992	TRUE
chr6	135097778	rs7776054	chr6	135097751	135098252	Hemoglobin A1c levels	29403010	HBS1L, MYB	LOC107986647 - LOC105378010	rs7776054-?	intron_variant	NR	3e-18	GCST006001	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	Body mass index	25673413	NEGR1	LOC105378797	rs3101336-C	intergenic_variant	0.614	2e-16	GCST002783	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	Obesity	23563607	NEGR1	LOC105378797	rs3101336-C	intergenic_variant	0.61	1e-13	GCST001953	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	Menarche (age at onset)	25231870	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.4	5e-13	GCST002541	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	Obesity (early onset extreme)	23563609	NEGR1	LOC105378797	rs3101336-C	intergenic_variant	0.60	2e-8	GCST001957	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	BMI (adjusted for smoking behaviour)	28443625	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.3916	2e-12	GCST004495	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	Body mass index (joint analysis main effects and smoking interaction)	28443625	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.3916	3e-16	GCST004497	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	BMI in smokers	28443625	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.3916	4e-8	GCST004498	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	Childhood body mass index	26604143	NR	LOC105378797	rs3101336-C	intergenic_variant	NR	4e-8	GCST003177	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	BMI in non-smokers	28443625	NEGR1	LOC105378797	rs3101336-T	intergenic_variant	0.3916	8e-9	GCST004499	TRUE
chr1	72285502	rs3101336	chr1	72285032	72285564	Body mass index	28892062	NEGR1, LINC01360	LOC105378797	rs3101336-C	intergenic_variant	0.63	1e-29	GCST004904	TRUE
chr4	76208415	rs17001654	chr4	76208286	76208787	Body mass index	25673413	SCARB2	SCARB2	rs17001654-G	intron_variant	0.153	2e-6	GCST002783	TRUE
chr4	76208415	rs17001654	chr4	76208286	76208787	Body mass index	26426971	NR	SCARB2	rs17001654-C	intron_variant	0.845056080783232	5e-12	GCST005951	TRUE
chr4	76208415	rs17001654	chr4	76208286	76208787	BMI (adjusted for smoking behaviour)	28443625	SCARB2	SCARB2	rs17001654-C	intron_variant	0.8438	2e-7	GCST004495	TRUE
chr4	76208415	rs17001654	chr4	76208286	76208787	Body mass index (joint analysis main effects and smoking interaction)	28443625	SCARB2	SCARB2	rs17001654-C	intron_variant	0.8438	2e-6	GCST004497	TRUE
chr5	88401716	rs6870983	chr5	88401665	88402166	Body mass index	25673413	LOC100505894	TMEM161B-AS1	rs6870983-C	intron_variant	0.782	4e-7	GCST002783	TRUE
chr5	88401716	rs6870983	chr5	88401665	88402166	Body mass index	26426971	TMEM161B, LINC00461, MIR9-2, MEF2C	TMEM161B-AS1	rs6870983-T	intron_variant	0.219183857303411	7e-10	GCST005951	TRUE
chr5	88401716	rs6870983	chr5	88401665	88402166	Body mass index	28448500	LOC645323	TMEM161B-AS1	rs6870983-C	intron_variant	0.7591	4e-8	GCST004557	TRUE
chr5	88401716	rs6870983	chr5	88401665	88402166	Body mass index in physically active individuals	28448500	LOC645323	TMEM161B-AS1	rs6870983-C	intron_variant	0.7798	7e-7	GCST004559	TRUE
chr5	88401716	rs6870983	chr5	88401665	88402166	Body mass index (joint analysis main effects and physical activity interaction)	28448500	LOC645323	TMEM161B-AS1	rs6870983-?	intron_variant	NR	1e-7	GCST004558	TRUE
chr2	19121042	rs12710696	chr2	19120868	19121369	Breast cancer (estrogen-receptor negative)	29058716	MIR4757	LOC105373455 - MIR4757	rs12710696-T	intron_variant	0.37	7e-8	GCST005076	TRUE
chr2	19121042	rs12710696	chr2	19120868	19121369	Breast cancer	29059683	intergenic	LOC105373455 - MIR4757	rs12710696-T	intron_variant	0.37	1e-8	GCST004988	TRUE
