snp_chr	snp_pos	snp	peak_chr	peak_start	peak_end	disease.trait	pubmedid	reported.gene.s.	mapped_gene	strongest.snp.risk.allele	context	risk.allele.frequency	p.value	study.accession	Multiple
chr15	73371562	rs7173389	chr15	73371357	73371857	Resting heart rate	27798624	HCN4, NEO1	HCN4 - LOC107984728	rs7173389-T	intergenic_variant	0.16	1e-32	GCST003818	TRUE
chr8	27608798	rs1532278	chr8	27608602	27609102	Alzheimer's disease (late onset)	21460841	CLU	CLU	rs1532278-?	non_coding_transcript_exon_variant	0.64	8e-8	GCST001026	TRUE
chr8	27608798	rs1532278	chr8	27608602	27609102	Alzheimer's disease (late onset)	28714976	CLU	CLU	rs1532278-?	non_coding_transcript_exon_variant	NR	6e-10	GCST005549	TRUE
chr6	167120802	rs3093023	chr6	167120329	167120829	Rheumatoid arthritis	24782177	CCR6	CCR6, LOC105378122	rs3093023-A	intron_variant	NA	4e-9	GCST002434	TRUE
chr6	167120802	rs3093023	chr6	167120329	167120829	Rheumatoid arthritis	20453842	CCR6	CCR6, LOC105378122	rs3093023-A	intron_variant	0.43	2e-11	GCST000679	TRUE
chr6	126530014	rs1490384	chr6	126529556	126530056	Height	23563607	C6orf173	MIR588 - RNU6-200P	rs1490384-T	intergenic_variant	0.49	1e-16	GCST001956	TRUE
chr6	126530014	rs1490384	chr6	126529556	126530056	Height	20881960	C6orf173	MIR588 - RNU6-200P	rs1490384-T	intergenic_variant	0.5	4e-21	GCST000817	TRUE
chr6	126530014	rs1490384	chr6	126529556	126530056	Height	28270201	intergenic	MIR588 - RNU6-200P	rs1490384-T	intergenic_variant	0.4851	7e-10	GCST004212	TRUE
chr6	126530014	rs1490384	chr6	126529556	126530056	Menarche (age at onset)	27182965	CENPW, RSPO3	MIR588 - RNU6-200P	rs1490384-?	intergenic_variant	NR	1e-10	GCST003993	TRUE
chr11	123523928	rs77502336	chr11	123523479	123523979	Schizophrenia	25056061	GRAMD1B	GRAMD1B	rs77502336-C	intron_variant	0.322	8e-9	GCST002539	TRUE
chr11	123523928	rs77502336	chr11	123523479	123523979	Autism spectrum disorder or schizophrenia	28540026	intergenic	GRAMD1B	rs77502336-C	intron_variant	NA	2e-9	GCST004521	TRUE
chr11	123523928	rs77502336	chr11	123523479	123523979	Schizophrenia	26198764	NR	GRAMD1B	rs77502336-C	intron_variant	NR	4e-10	GCST003048	TRUE
chr11	123523928	rs77502336	chr11	123523479	123523979	Schizophrenia	28991256	GRAMD1B	GRAMD1B	rs77502336-C	intron_variant	NR	1e-9	GCST004946	TRUE
chr5	177390635	rs6420094	chr5	177390404	177390904	Chronic kidney disease	26831199	SLC34A1	SLC34A1	rs6420094-G	intron_variant	0.34	4e-9	GCST003374	TRUE
chr5	177390635	rs6420094	chr5	177390404	177390904	Glomerular filtration rate (creatinine)	26831199	SLC34A1	SLC34A1	rs6420094-A	intron_variant	0.66	5e-22	GCST003372	TRUE
chr5	177390635	rs6420094	chr5	177390404	177390904	Chronic kidney disease	20383146	RGS14, PRR7, PFN3, GRK6, SLC34A1, F12, LMAN2	SLC34A1	rs6420094-G	intron_variant	0.34	1e-14	GCST000649	TRUE
chr10	80494291	rs6586030	chr10	80494015	80494515	Inflammatory bowel disease	23128233	TSPAN14, C10orf58	TSPAN14	rs6586030-G	intron_variant	0.847	9e-16	GCST001725	TRUE
chr10	80494291	rs6586030	chr10	80494015	80494515	Crohn's disease	28067908	TSPAN14, SH2D4B	TSPAN14	rs6586030-?	intron_variant	NA	7e-8	GCST004132	TRUE
chr10	80494291	rs6586030	chr10	80494015	80494515	Inflammatory bowel disease	28067908	TSPAN14, SH2D4B	TSPAN14	rs6586030-?	intron_variant	NA	5e-8	GCST004131	TRUE
chr21	15445619	rs2823286	chr21	15445246	15445746	Inflammatory bowel disease	23128233	intergenic	LOC101927745 - CYCSP42	rs2823286-G	intron_variant	0.708	9e-30	GCST001725	TRUE
chr21	15445619	rs2823286	chr21	15445246	15445746	Crohn's disease	28067908	Intergenic	LOC101927745 - CYCSP42	rs2823286-?	intron_variant	NA	6e-26	GCST004132	TRUE
chr21	15445619	rs2823286	chr21	15445246	15445746	Ulcerative colitis	28067908	Intergenic	LOC101927745 - CYCSP42	rs2823286-?	intron_variant	NA	2e-13	GCST004133	TRUE
chr21	15445619	rs2823286	chr21	15445246	15445746	Inflammatory bowel disease	28067908	Intergenic	LOC101927745 - CYCSP42	rs2823286-?	intron_variant	NA	4e-29	GCST004131	TRUE
chr21	15445619	rs2823286	chr21	15445246	15445746	Ulcerative colitis	26192919	NR	LOC101927745 - CYCSP42	rs2823286-G	intron_variant	0.71	2e-12	GCST003045	TRUE
chr21	15445619	rs2823286	chr21	15445246	15445746	Crohn's disease	26192919	NR	LOC101927745 - CYCSP42	rs2823286-A	intron_variant	0.71	1e-24	GCST003044	TRUE
chr12	101823942	rs10860794	chr12	101823903	101824403	Blood protein levels	28240269	GNPTAB, RNA5SP369	GNPTAB	rs10860794-A	intron_variant	0.3114343	2e-11	GCST004365	TRUE
chr12	101823942	rs10860794	chr12	101823903	101824403	Blood protein levels	29875488	GNPTAB	GNPTAB	rs10860794-A	intron_variant	0.294	2e-16	GCST005806	TRUE
chr4	186229652	rs1511802	chr4	186229523	186230023	Blood protein levels	28240269	KLKB1	KLKB1	rs1511802-C	intron_variant	0.3704819	9e-29	GCST004365	TRUE
chr4	186229652	rs1511802	chr4	186229523	186230023	Blood protein levels	29875488	KLKB1	KLKB1	rs1511802-C	intron_variant	0.382	5e-14	GCST005806	TRUE
chr13	94218511	rs1572050	chr13	94218436	94218936	Renal sinus fat	22044751	GPC6	GPC6	rs1572050-A	intron_variant	0.10	6e-6	GCST001304	FALSE
chr1	16889836	rs6586513	chr1	16889394	16889894	Allergic rhinitis	22036096	CROCC	LOC107985101	rs6586513-C	intron_variant	0.29	4e-6	GCST001310	FALSE
chr15	60585831	rs340005	chr15	60585703	60586203	Gamma glutamyl transferase levels	22010049	RORA	RORA, RORA-AS1	rs340005-G	intron_variant	0.36	2e-8	GCST001307	FALSE
chr15	60585831	rs340005	chr15	60585703	60586203	C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	27286809	RORA	RORA, RORA-AS1	rs340005-A	intron_variant	NR	2e-12	GCST003679	FALSE
chr10	79274913	rs1250542	chr10	79274665	79275165	Multiple sclerosis	22190364	ZMIZ1	ZMIZ1	rs1250542-A	intron_variant	0.37	4e-7	GCST001341	FALSE
chr3	78304441	rs9831754	chr3	78304032	78304532	Calcium levels	20705733	intergenic	RN7SKP61 - MRPS17P3	rs9831754-T	intergenic_variant	NR	8e-6	GCST000769	FALSE
chr21	16455971	rs2823819	chr21	16455921	16456421	Attention deficit hyperactivity disorder	20732626	C21orf34	MIR99AHG	rs2823819-C	intron_variant	0.18	7e-7	GCST000684	FALSE
chr14	72417166	rs7159300	chr14	72416829	72417329	Smoking cessation	20811658	RGS6	RGS6, LOC105370559	rs7159300-?	intron_variant	NR	4e-6	GCST000778	FALSE
chr3	195137645	rs2131877	chr3	195137109	195137833	Non-small cell lung cancer	20876614	C3orf21	XXYLT1	rs2131877-G	intron_variant	0.44	2e-8	GCST000815	FALSE
chr6	3359103	rs4959235	chr6	3358986	3359486	Antipsychotic drug-induced QTc interval prolongation	20921969	SLC22A23	SLC22A23	rs4959235-?	intron_variant	NR	2e-7	GCST000822	FALSE
chr15	89358801	rs4932217	chr15	89358524	89359024	Height	18193045	POLG	TRR-TCG1-1 - LINC00925	rs4932217-A	regulatory_region_variant	0.58	8e-7	GCST000136	FALSE
chr13	36089165	rs9315385	chr13	36089082	36089582	Heart rate variability traits	17903306	DCAMKL1	DCLK1	rs9315385-?	intron_variant	NR	8e-6	GCST000086	FALSE
chr17	36463349	rs4796217	chr17	36463187	36463687	Protein quantitative trait loci	18464913	CCL4L2	TBC1D3J - LOC105371749	rs4796217-?	intergenic_variant	0.34	4e-21	GCST000189	FALSE
chr5	99445399	rs1829883	chr5	99445383	99445883	Hemostatic factors and hematological phenotypes	17903294	intergenic	LOC107986436 - LOC100652833	rs1829883-?	intergenic_variant	0.41	6e-6	GCST000080	FALSE
chr3	34921177	rs10514688	chr3	34920473	34921284	Tonometry	17903302	intergenic	LOC101928135	rs10514688-?	intergenic_variant	NR	6e-6	GCST000107	FALSE
chr1	186663185	rs10911902	chr1	186662686	186663186	Schizophrenia	18347602	intergenic	LOC100131939 - PTGS2	rs10911902-?	intergenic_variant	0.17	2e-6	GCST000164	FALSE
chr11	116733008	rs12272004	chr11	116732659	116733159	Triglycerides	19060911	APOA1, APOC3, APOA4, APOA5	LOC101929011 - BUD13	rs12272004-C	regulatory_region_variant	0.93	5e-13	GCST000289	FALSE
chr11	116733008	rs12272004	chr11	116732659	116733159	LDL cholesterol	19060911	APOA1, APOC3, APOA4, APOA5	LOC101929011 - BUD13	rs12272004-C	regulatory_region_variant	0.93	5e-13	GCST000282	FALSE
chr11	116733008	rs12272004	chr11	116732659	116733159	Cholesterol, total	19060911	APOA1, APOC3, APOA4, APOA5	LOC101929011 - BUD13	rs12272004-C	regulatory_region_variant	0.93	7e-7	GCST000285	FALSE
chr11	116733008	rs12272004	chr11	116732659	116733159	Carotenoid and tocopherol levels	19185284	APOA5	LOC101929011 - BUD13	rs12272004-A	regulatory_region_variant	0.07	8e-10	GCST000324	FALSE
chr1	106793679	rs12097821	chr1	106793567	106794067	Non-obstructive azoospermia	22197933	PRMT6	LOC105378887 - MTCO3P14	rs12097821-?	intergenic_variant	NR	6e-10	GCST001362	FALSE
chr9	87620879	rs11141915	chr9	87620671	87621171	Response to gemcitabine in pancreatic cancer	22293537	DAPK1	DAPK1	rs11141915-T	intron_variant	0.62	1e-6	GCST001390	FALSE
chr1	155135691	rs12726330	chr1	155135552	155136052	Parkinson's disease	22451204	GBA	SLC50A1	rs12726330-?	splice_region_variant	NR	5e-8	GCST001430	FALSE
chr12	39959194	rs10877840	chr12	39958969	39959469	Parkinson's disease	22451204	SLC2A13	SLC2A13	rs10877840-?	intron_variant	NR	1e-6	GCST001430	FALSE
chr15	78540881	rs12901682	chr15	78540150	78540911	Response to tocilizumab in rheumatoid arthritis	22491018	PSMA4	PSMA4	rs12901682-?	5_prime_UTR_variant	0.017	4e-8	GCST001476	FALSE
chr5	126846170	rs959573	chr5	126845821	126846786	Parkinson's disease (motor and cognition)	22658654	LMNB1	LMNB1 - MARCH3	rs959573-?	regulatory_region_variant	NR	5e-6	GCST001546	FALSE
chr1	159204097	rs3027009	chr1	159203682	159204473	Lean body mass and age at menarche (combined)	22744181	DARC	ACKR1	rs3027009-?	5_prime_UTR_variant	NR	7e-7	GCST001584	FALSE
chr6	25640972	rs932316	chr6	25640775	25641275	Iron status biomarkers	19084217	SCGN	LRRC16A - SCGN	rs932316-?	intergenic_variant	NR	9e-6	GCST000301	FALSE
chr12	41778180	rs871392	chr12	41777954	41778454	Biochemical measures	19260141	intergenic	LOC101927038 - LOC100129078	rs871392-A	intergenic_variant	0.15	3e-6	GCST000328	FALSE
chr3	39514089	rs864643	chr3	39513610	39514110	Attention deficit hyperactivity disorder	18839057	MOBP	MOBP	rs864643-?	3_prime_UTR_variant	NR	1e-8	GCST000246	FALSE
chr22	21953147	rs412050	chr22	21952676	21953176	Attention deficit hyperactivity disorder	18839057	PPM1F	PPM1F - TOP3B	rs412050-?	non_coding_transcript_exon_variant	NR	6e-6	GCST000246	FALSE
chr5	112907271	rs469727	chr5	112907063	112907793	Attention deficit hyperactivity disorder	18839057	REEP5	REEP5	rs469727-?	intron_variant	NR	8e-6	GCST000246	FALSE
chr2	42754099	rs930421	chr2	42753979	42754479	Attention deficit hyperactivity disorder	18821565	OXER1	MTA3	rs930421-?	3_prime_UTR_variant	NR	6e-6	GCST000281	FALSE
chr11	5204405	rs11036238	chr11	5204341	5204841	Malaria	19465909	HBB	OR51V1 - HBB	rs11036238-?	intergenic_variant	0.14	4e-11	GCST000410	FALSE
chr4	9921380	rs734553	chr4	9921289	9921789	Uric acid levels	19503597	SLC2A9	SLC2A9	rs734553-T	intron_variant	0.77	1e-41	GCST000418	FALSE
chr4	9921380	rs734553	chr4	9921289	9921789	Serum uric acid levels	21983786	SLC2A9	SLC2A9	rs734553-T	intron_variant	0.79	1e-80	GCST001269	FALSE
chr4	9921380	rs734553	chr4	9921289	9921789	Gout	21983786	SLC2A9	SLC2A9	rs734553-T	intron_variant	0.790	2e-7	GCST001268	FALSE
chr15	55094545	rs1528473	chr15	55094105	55094605	Inflammatory skin disease	25574825	RP11-548M13.1	LOC105370829 - RSL24D1	rs1528473-?	intergenic_variant	NR	3e-7	GCST002740	FALSE
chr8	95196498	rs4484658	chr8	95196342	95196842	Bone mineral accretion in asthma (oral corticosteroid dose interaction)	26025128	intergenic	PLEKHF2 - LINC01298	rs4484658-?	intergenic_variant	NA	8e-8	GCST002926	FALSE
chr10	37101682	rs1200921	chr10	37101276	37101776	Breast cancer	29059683	NR	ARL6IP1P2 - ANKRD30A	rs1200921-A	intergenic_variant	0.4634	6e-6	GCST004988	FALSE
chr2	69207095	rs12474538	chr2	69206824	69207324	Breast cancer	29059683	NR	ANTXR1	rs12474538-A	intron_variant	0.1487	9e-8	GCST004988	FALSE
chr22	29581329	rs183421746	chr22	29580939	29581439	Breast cancer	29059683	NR	NIPSNAP1	rs183421746-C	5_prime_UTR_variant	0.0094	3e-11	GCST004988	FALSE
chr9	107541528	rs60037937	chr9	107541440	107541940	Breast cancer	29059683	NR	LOC105376206 - LOC105376205	rs60037937-T	intergenic_variant	0.2004	1e-26	GCST004988	FALSE
chr2	217858732	rs6436017	chr2	217858397	217858897	Breast cancer	29059683	NR	TNS1	rs6436017-G	intron_variant	0.5042	3e-10	GCST004988	FALSE
chr11	66843174	rs7570	chr11	66843163	66843663	Breast cancer	29059683	NR	C11orf80	rs7570-C	synonymous_variant	0.2653	8e-6	GCST004988	FALSE
chr10	105187248	rs1947988	chr10	105187129	105187629	Cognitive ability	29186694	SORCS3	SORCS3	rs1947988-?	intron_variant	NR	8e-7	GCST005142	FALSE
chr10	105187248	rs1947988	chr10	105187129	105187629	Cognitive ability (MTAG)	29186694	SORCS3	SORCS3	rs1947988-?	intron_variant	NR	1e-8	GCST005141	FALSE
chr10	127338145	rs4751240	chr10	127337818	127338318	Body mass index (change over time) in gastrointestinal cancer	28044437	DOCK1	DOCK1	rs4751240-?	intron_variant	NA	2e-8	GCST004101	FALSE
chr10	127338145	rs4751240	chr10	127337818	127338318	Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease	28044437	DOCK1	DOCK1	rs4751240-?	intron_variant	NA	9e-10	GCST004100	FALSE
chr6	33080912	rs141530233	chr6	33080114	33080945	Antineutrophil cytoplasmic antibody-associated vasculitis	28029757	HLA-DPB1	HLA-DPB1	rs141530233-?	frameshift_variant	0.7	1e-89	GCST003976	FALSE
chr4	15707629	rs2302464	chr4	15707309	15707809	Cerebrospinal fluid biomarker levels	28031287	NR	BST1	rs2302464-?	missense_variant	NR	5e-28	GCST004000	FALSE
chr16	1706177	rs6600164	chr16	1705885	1706385	Intraocular pressure	29617998	MAPK8IP3	HN1L - MAPK8IP3	rs6600164-T	TF_binding_site_variant	0.83	5e-8	GCST005580	FALSE
chr3	64716599	rs4616635	chr3	64716270	64716770	Waist-to-hip ratio adjusted for BMI x sex interaction	26426971	ADAMTS9	ADAMTS9-AS2	rs4616635-C	intron_variant	0.72	8e-9	GCST005959	FALSE
chr3	64716599	rs4616635	chr3	64716270	64716770	Waist-to-hip ratio adjusted for BMI (age <50)	26426971	ADAMTS9, ADAMTS9-AS2, MIR548A2, PRICKLE2	ADAMTS9-AS2	rs4616635-C	intron_variant	0.72	3e-9	GCST005957	FALSE
chr3	64716599	rs4616635	chr3	64716270	64716770	Waist-to-hip ratio adjusted for BMI (age >50)	26426971	ADAMTS9, ADAMTS9-AS2, MIR548A2, PRICKLE2	ADAMTS9-AS2	rs4616635-C	intron_variant	0.720489738488708	2e-15	GCST005958	FALSE
chr3	64716599	rs4616635	chr3	64716270	64716770	Waist-to-hip ratio adjusted for BMI	26426971	ADAMTS9, MIR548A2, PRICKLE2, ADAMTS9-AS2	ADAMTS9-AS2	rs4616635-C	intron_variant	0.72049	1e-16	GCST005956	FALSE
chr3	64716599	rs4616635	chr3	64716270	64716770	Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	26426971	ADAMTS9, ADAMTS9 -AS2, MIR548A2, PRICKLE2	ADAMTS9-AS2	rs4616635-C	intron_variant	0.7205	6e-21	GCST005962	FALSE
chr19	35396227	rs16970288	chr19	35395827	35396327	Cleft lip with or without cleft palate (maternal periconceptional vitamin use interaction)	29535761	EEF1A1P7, LINC01531	EEF1A1P7 - LINC01531	rs16970288-?	intergenic_variant	NA	6e-6	GCST005652	FALSE
chr16	21599483	rs1478461	chr16	21599235	21599735	Depression (broad)	29662059	NR	METTL9	rs1478461-T	5_prime_UTR_variant	0.6618	1e-7	GCST005902	FALSE
chr1	221714561	rs72736544	chr1	221714339	221714839	Rheumatic fever	28928442	NR	DUSP10	rs72736544-?	intron_variant	NR	2e-7	GCST005018	FALSE
chr3	143241431	rs4839604	chr3	143241377	143241877	N-glycan levels	21908519	SLC9A9	PBX2P1 - SLC9A9	rs4839604-A	regulatory_region_variant	0.23	4e-13	GCST005046	FALSE
chr2	62341310	rs6759298	chr2	62340968	62341468	Ankylosing spondylitis	23749187	Intergenic	LOC105374761 - LOC105374764	rs6759298-C	regulatory_region_variant	0.378	4e-41	GCST005529	FALSE
chr2	104434714	rs7562028	chr2	104434339	104434839	Systolic blood pressure in combination therapy (beta blocker and thiazide diuretic)	29097388	AC013402.2	LINC01102	rs7562028-G	intron_variant	0.07	8e-6	GCST005040	FALSE
chr6	160668275	rs56393506	chr6	160667828	160668328	Ischemic stroke (large artery atherosclerosis)	29531354	LPA	LPA - PLG	rs56393506-T	intron_variant	0.16	1e-7	GCST005840	FALSE
chr6	160668275	rs56393506	chr6	160667828	160668328	Lipoprotein (a) levels	28512139	LPA	LPA - PLG	rs56393506-T	intron_variant	NA	8e-285	GCST004398	FALSE
chr6	160668275	rs56393506	chr6	160667828	160668328	Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms	28512139	LPA	LPA - PLG	rs56393506-T	intron_variant	NA	3e-105	GCST004399	FALSE
chr7	100561944	rs2734897	chr7	100561667	100562167	Alzheimer's disease or family history of Alzheimer's disease	29777097	NR	AGFG2	rs2734897-?	intron_variant	NR	5e-8	GCST005922	FALSE
chr19	44845920	rs77241309	chr19	44845819	44846319	Alzheimer's disease or family history of Alzheimer's disease	29777097	NR	BCAM - PVRL2	rs77241309-?	regulatory_region_variant	NR	5e-8	GCST005922	FALSE
chr17	7851675	rs12939056	chr17	7851674	7852174	Height	29782485	KDM6B	KDM6B	rs12939056-A	synonymous_variant	0.567442475535572	8e-7	GCST005908	FALSE
chr3	52979251	rs62253653	chr3	52978982	52979482	Hand grip strength	29691431	SFMBT1	SFMBT1	rs62253653-A	intron_variant	0.7036	1e-10	GCST005830	FALSE
chr7	86965067	rs6958716	chr7	86964703	86965203	Seborrheic dermatitis	29203360	KIAA1324L	KIAA1324L	rs6958716-?	intron_variant	NR	1e-7	GCST005655	FALSE
chr1	155061442	rs41264285	chr1	155061410	155061910	Systemic lupus erythematosus	28714469	ADAM15, EFNA1	LOC100505666, ADAM15	rs41264285-T	missense_variant	0.211	8e-7	GCST005752	FALSE
chr7	22726602	rs1800797	chr7	22726319	22726819	Systemic lupus erythematosus	28714469	LOC541472	LOC541472, IL6	rs1800797-?	non_coding_transcript_exon_variant	NR	8e-6	GCST005752	FALSE
chr1	161566341	rs332398	chr1	161566134	161566634	Systemic lupus erythematosus	28714469	FCGR3A, FCGR2C	FCGR3A - FCGR2C	rs332398-T	intron_variant	0.462	1e-6	GCST005752	FALSE
chr16	10944503	rs8054198	chr16	10944218	10944718	Systemic lupus erythematosus	28714469	CLEC16A	CLEC16A	rs8054198 -?	5_prime_UTR_variant	0.031	2e-8	GCST005752	FALSE
chr1	161727208	rs1875763	chr1	161726752	161727252	White blood cell count	29403010	FCRLB	FCRLB	rs1875763-?	intron_variant	NR	2e-8	GCST005973	FALSE
chr1	161727208	rs1875763	chr1	161726752	161727252	Non-albumin protein levels	29403010	NR	FCRLB	rs1875763-?	intron_variant	NR	3e-9	GCST005990	FALSE
chr6	33080823	rs116722486	chr6	33080114	33080945	White blood cell count	29403010	NR	HLA-DPB1	rs116722486-?	stop_gained	NR	3e-10	GCST005973	FALSE
chr17	49789170	rs1123339	chr17	49788898	49789398	Mean corpuscular volume	29403010	KAT7	KAT7	rs1123339-?	non_coding_transcript_exon_variant	NR	7e-11	GCST006011	FALSE
chr17	49789170	rs1123339	chr17	49788898	49789398	Mean corpuscular hemoglobin	29403010	KAT7	KAT7	rs1123339-?	non_coding_transcript_exon_variant	NR	3e-10	GCST005993	FALSE
chr15	101015194	rs2034809	chr15	101015160	101015660	Central corneal thickness	29760442	LRRK1	LRRK1	rs2034809-G	intron_variant	0.51	4e-6	GCST005667	FALSE
chr2	113974664	rs12472051	chr2	113974616	113975116	Diabetic kidney disease in type 2 diabetes (ESRD vs. no ESRD)	29703844	NR	ACTR3 - LOC100499194	rs12472051-?	intergenic_variant	NA	4e-6	GCST005893	FALSE
chr8	19682127	rs7816924	chr8	19682026	19682526	Response to antidepressant treatment (citalopram)	23726668	CSGALNACT1	CSGALNACT1	rs7816924-A	intron_variant	NR	2e-7	GCST002046	FALSE
chr12	47377646	rs2074193	chr12	47377436	47377936	Migraine with aura	23793025	intergenic	LOC107984528 - LOC100288129	rs2074193-C	regulatory_region_variant	0.21	5e-7	GCST002080	FALSE
chr17	59210093	rs6503905	chr17	59209772	59210272	Circulating myeloperoxidase levels (plasma)	23620142	C17orf71	SMG8	rs6503905-A	synonymous_variant	0.37	3e-12	GCST001980	FALSE
chr3	171116770	rs11920719	chr3	171116284	171116784	LDL cholesterol	21347282	TNIK	LOC105374216, TNIK	rs11920719-A	intron_variant	0.77	4e-6	GCST000975	FALSE
